data created:, 08-Jan-2019
monthly global mean of baseline data from AGAGE GC-MD data
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT:  raywang@eas.gatech.edu, rprinn@mit.edu, rfweiss@ucsd.edu
You can use the following format in Fortran to read data in different columns, (F9.3, I4, I6, 8(f11.3,f9.3))
   scale: ---   ---       SIO-05      ---       SIO-05      ---       SIO-05      ---       SIO-05      ---       SIO-05      ---       SIO-16      ---   Tohoku-Uni      ---       SIO-98      ---
    unit: ---   ---          ppt      ---          ppt      ---          ppt      ---          ppt      ---          ppt      ---          ppb      ---          ppb      ---          ppt      ---
 1992.958  12  1992      265.186    2.189      511.420    4.518       81.600    1.865      129.155    7.860      103.650    0.600      310.348    0.212     1737.498   34.831        0.000    0.000
 1993.042   1  1993      265.402    2.241      511.665    5.281       81.855    1.829      129.292    8.532      103.600    0.725      310.307    0.139     1733.900   36.932        0.000    0.000
 1993.125   2  1993      264.979    2.117      511.215    4.727       81.867    1.705      127.815    7.955      103.350    0.630      310.355    0.255     1735.023   38.512        0.000    0.000
 1993.208   3  1993      265.238    2.120      511.935    4.778       82.083    1.802      128.512    8.262      103.350    0.663      310.362    0.348     1738.381   37.643        0.000    0.000
 1993.292   4  1993      264.967    2.302      512.065    4.925       81.915    1.795      127.668    8.044      103.223    0.769      310.225    0.413     1736.925   35.923        0.000    0.000
 1993.375   5  1993      264.901    2.420      512.453    5.217       82.345    1.883      127.397    8.397      103.110    0.821      310.208    0.543     1738.758   36.419        0.000    0.000
 1993.458   6  1993      264.525    2.211      513.138    5.169       82.712    1.695      127.018    7.800      103.110    0.867      310.150    0.446     1731.437   26.264        0.000    0.000
 1993.542   7  1993      264.496    2.391      513.800    5.458       82.455    1.664      125.910    7.048      102.768    0.864      310.050    0.402     1730.992   22.543        0.000    0.000
 1993.625   8  1993      264.814    2.036      515.005    4.893       82.518    1.427      124.391    5.772      102.767    0.580      310.154    0.318     1736.841   25.811        0.000    0.000
 1993.708   9  1993      265.002    2.079      515.716    4.895       82.364    1.424      123.428    5.478      102.798    0.557      310.307    0.307     1745.400   31.512        0.000    0.000
 1993.792  10  1993      264.871    2.284      516.670    5.396       82.470    1.374      122.622    5.362      102.780    0.669      310.367    0.498     1756.928   39.782        0.000    0.000
 1993.875  11  1993      264.663    2.395      516.250    5.316       82.648    1.536      121.036    5.118      102.478    0.669      310.039    0.559     1750.003   37.416        0.000    0.000
 1993.958  12  1993      265.323    1.942      517.515    4.324       83.348    1.632      121.109    5.308      102.795    0.444      310.381    0.288     1744.780   37.192        0.000    0.000
 1994.042   1  1994      265.562    1.816      518.548    4.344       83.470    1.522      120.564    5.497      102.838    0.372      310.539    0.253     1745.523   40.528        0.000    0.000
 1994.125   2  1994      265.577    1.580      518.746    4.129       83.242    1.447      119.055    5.259      102.752    0.465      310.627    0.354     1747.052   40.643        0.000    0.000
 1994.208   3  1994      265.313    1.689      519.056    4.086       83.011    1.326      117.941    5.456      102.885    0.417      310.693    0.427     1738.102   37.396        7.110    1.500
 1994.292   4  1994      265.263    1.743      519.702    4.015       83.201    1.412      117.622    5.887      102.749    0.559      310.816    0.384     1741.291   39.959        7.290    1.600
 1994.375   5  1994      265.246    1.751      520.532    3.956       83.224    1.327      117.147    5.754      102.727    0.802      310.988    0.384     1745.203   37.092        7.530    1.490
 1994.458   6  1994      264.944    1.672      520.643    3.797       83.110    1.245      115.235    4.579      102.461    0.791      310.859    0.361     1744.290   32.867        7.500    1.080
 1994.542   7  1994      265.060    1.902      521.615    4.671       83.060    1.312      114.339    4.499      102.405    1.045      310.840    0.546     1738.598   24.459        7.950    1.200
 1994.625   8  1994      264.842    1.835      522.092    4.726       83.055    1.139      113.265    4.046      102.195    1.089      310.799    0.570     1740.755   24.306        7.970    1.130
 1994.708   9  1994      265.236    1.747      523.148    4.615       82.920    1.038      112.369    3.846      102.191    1.046      311.012    0.471     1746.476   26.395        8.030    1.180
 1994.792  10  1994      265.547    1.701      523.650    4.287       82.916    1.009      111.844    4.298      102.106    0.948      311.185    0.557     1754.365   32.109        8.430    1.440
 1994.875  11  1994      265.383    1.832      524.041    4.400       83.201    0.912      110.989    4.438      101.969    0.928      311.342    0.615     1749.411   32.026        8.150    1.580
 1994.958  12  1994      265.570    1.697      524.812    4.245       83.589    1.097      109.738    4.371      102.070    0.861      311.407    0.529     1748.003   33.555        7.600    1.580
 1995.042   1  1995      265.273    1.754      524.857    4.058       83.725    0.976      108.421    4.347      102.034    0.773      311.490    0.524     1742.937   35.796        7.490    1.610
 1995.125   2  1995      265.418    1.495      525.394    3.492       83.742    0.916      107.785    4.370      102.093    0.592      311.621    0.428     1745.749   36.609        7.370    1.860
 1995.208   3  1995      265.412    1.427      525.729    3.571       84.018    0.897      107.203    4.803      102.167    0.723      311.718    0.503     1746.238   39.497        7.500    1.860
 1995.292   4  1995      265.083    1.552      525.337    3.277       83.828    1.013      106.383    4.570      101.949    0.733      311.642    0.445     1748.816   38.183        7.680    1.800
 1995.375   5  1995      265.009    1.496      525.834    3.073       83.599    0.979      105.172    4.124      101.889    0.763      311.727    0.513     1747.285   33.702        7.550    1.320
 1995.458   6  1995      264.922    1.401      526.416    3.288       83.603    0.837      104.290    3.788      101.854    0.750      311.744    0.460     1741.134   27.041        7.390    0.910
 1995.542   7  1995      264.853    1.223      526.946    3.091       83.609    0.832      103.015    3.161      101.730    0.656      311.724    0.390     1741.688   24.950        7.410    0.840
 1995.625   8  1995      264.672    1.118      527.434    3.168       83.604    0.834      101.337    2.395      101.462    0.659      311.695    0.357     1745.083   25.361        7.840    0.930
 1995.708   9  1995      264.523    1.034      527.740    3.029       83.532    0.885      100.088    2.080      101.405    0.653      311.846    0.363     1753.687   28.091        8.250    1.190
 1995.792  10  1995      264.484    1.148      528.286    3.001       83.443    0.656       99.676    2.592      101.348    0.756      312.132    0.379     1754.096   30.109        8.310    1.570
 1995.875  11  1995      264.542    1.274      529.054    3.290       83.395    0.622       98.002    2.449      101.311    0.756      312.039    0.366     1755.269   33.124        8.400    1.800
 1995.958  12  1995      264.560    1.244      529.314    3.143       83.456    0.543       97.118    2.914      101.246    0.676      312.039    0.306     1750.096   35.897        8.030    2.050
 1996.042   1  1996      264.585    1.048      530.013    2.738       83.627    0.402       96.331    2.982      101.232    0.467      312.128    0.290     1755.431   37.803        7.670    1.930
 1996.125   2  1996      264.586    1.198      530.453    2.907       83.570    0.555       95.664    3.258      101.062    0.474      312.158    0.344     1751.116   36.995        7.280    1.870
 1996.208   3  1996      264.565    1.000      530.958    2.316       83.550    0.585       94.535    3.176      101.111    0.377      312.182    0.379     1747.138   37.816        7.250    1.920
 1996.292   4  1996      264.611    0.932      531.376    2.478       83.771    0.340       93.350    3.255      100.913    0.492      312.280    0.480     1746.964   37.953        7.170    1.770
 1996.375   5  1996      264.774    0.844      532.119    2.483       83.883    0.278       92.889    3.313      100.907    0.519      312.481    0.559     1750.432   34.812        7.690    1.370
 1996.458   6  1996      264.604    0.973      532.621    2.648       83.557    0.451       90.927    2.440      100.663    0.563      312.590    0.573     1745.911   28.611        7.710    1.130
 1996.542   7  1996      264.435    1.000      532.948    2.738       83.421    0.427       89.188    1.631      100.482    0.555      312.773    0.576     1744.337   24.192        7.730    1.140
 1996.625   8  1996      264.211    0.953      533.260    2.908       83.425    0.377       87.459    1.298      100.195    0.595      312.737    0.487     1747.950   25.236        7.920    1.270
 1996.708   9  1996      264.107    0.980      533.546    2.932       83.378    0.416       86.288    0.999      100.085    0.650      312.769    0.465     1751.388   27.584        7.930    1.280
 1996.792  10  1996      263.955    1.049      533.637    2.945       83.442    0.348       84.752    1.105       99.937    0.706      312.887    0.432     1751.346   27.908        7.810    1.470
 1996.875  11  1996      264.112    1.105      534.283    2.937       83.505    0.272       83.790    1.478      100.055    0.746      313.064    0.401     1754.751   32.674        7.860    1.830
 1996.958  12  1996      264.049    1.108      534.483    2.842       83.540    0.288       82.990    1.592      100.000    0.694      313.185    0.358     1755.140   35.270        7.800    1.970
 1997.042   1  1997      264.001    1.087      534.833    2.794       83.619    0.317       82.172    1.875       99.939    0.613      313.264    0.359     1756.100   37.355        7.970    2.120
 1997.125   2  1997      263.747    1.072      534.726    2.606       83.373    0.203       80.979    2.131       99.825    0.562      313.260    0.354     1753.207   37.690        7.720    2.120
 1997.208   3  1997      263.676    1.013      534.996    2.332       83.418    0.219       80.153    1.968       99.800    0.535      313.370    0.377     1754.545   33.985        7.680    1.930
 1997.292   4  1997      263.502    1.047      535.066    2.432       83.398    0.234       78.875    1.963       99.712    0.583      313.411    0.457     1749.805   34.023        7.410    1.790
 1997.375   5  1997      263.259    1.150      535.170    2.631       83.385    0.303       78.035    1.813       99.628    0.670      313.380    0.522     1753.202   33.293        7.650    1.640
 1997.458   6  1997      263.101    1.057      535.308    2.594       83.296    0.305       77.127    1.328       99.482    0.702      313.493    0.453     1751.271   27.535        7.710    1.200
 1997.542   7  1997      263.046    0.937      535.942    2.598       83.289    0.260       75.752    0.864       99.388    0.645      313.551    0.385     1748.336   23.220        7.570    1.040
 1997.625   8  1997      262.945    0.877      536.311    2.591       83.286    0.238       74.462    0.398       99.265    0.660      313.577    0.311     1748.965   21.218        7.600    0.910
 1997.708   9  1997      262.892    0.848      536.552    2.456       83.267    0.209       73.260    0.352       99.197    0.622      313.685    0.255     1751.424   22.593        7.620    0.990
 1997.792  10  1997      262.842    0.926      536.786    2.465       83.276    0.219       72.063    0.397       99.124    0.645      313.816    0.308     1752.149   24.581        7.550    1.230
 1997.875  11  1997      262.874    1.087      537.286    2.759       83.320    0.290       71.387    0.560       99.139    0.732      313.875    0.340     1757.965   30.302        7.890    1.580
 1997.958  12  1997      262.857    1.152      537.441    2.701       83.271    0.294       70.513    0.856       99.140    0.715      313.947    0.349     1757.263   33.742        7.880    1.790
 1998.042   1  1998      262.840    1.075      537.743    2.444       83.309    0.265       69.611    1.087       99.085    0.656      314.070    0.334     1758.722   34.407        7.870    1.950
 1998.125   2  1998      262.429    1.187      537.361    2.616       83.263    0.313       68.432    1.190       98.828    0.684      314.004    0.428     1753.464   38.072        7.680    1.880
 1998.208   3  1998      262.307    1.164      537.601    2.484       83.213    0.282       67.465    1.356       98.777    0.620      313.983    0.462     1754.912   37.291        7.510    1.910
 1998.292   4  1998      261.974    1.250      537.486    2.591       83.111    0.304       66.718    1.226       98.604    0.688      313.968    0.535     1756.866   38.396        7.630    1.880
 1998.375   5  1998      261.875    1.146      537.810    2.421       83.077    0.264       65.776    0.979       98.575    0.721      314.050    0.507     1757.150   32.340        7.560    1.540
 1998.458   6  1998      261.642    1.029      538.054    2.373       83.019    0.208       64.820    0.695       98.434    0.737      314.108    0.479     1757.001   27.019        7.720    1.350
 1998.542   7  1998      261.469    0.858      538.475    2.290       82.942    0.167       63.773    0.301       98.333    0.716      314.116    0.375     1757.406   22.321        7.770    1.120
 1998.625   8  1998      261.257    0.733      538.740    2.134       82.864    0.108       62.684    0.185       98.104    0.634      314.209    0.285     1761.939   22.705        8.020    1.220
 1998.708   9  1998      261.256    0.740      539.211    2.092       82.875    0.093       61.627    0.239       98.042    0.590      314.335    0.260     1768.850   27.242        8.050    1.470
 1998.792  10  1998      261.228    0.817      539.416    2.120       82.877    0.082       60.774    0.258       97.959    0.599      314.484    0.281     1770.686   29.374        7.920    1.530
 1998.875  11  1998      261.419    0.841      540.031    2.088       82.879    0.100       59.842    0.403       98.028    0.596      314.711    0.252     1772.635   32.193        7.810    1.780
 1998.958  12  1998      261.359    0.868      540.196    2.044       82.842    0.110       59.125    0.538       97.938    0.550      314.846    0.230     1774.072   34.594        7.890    1.930
 1999.042   1  1999      261.341    0.825      540.504    1.980       82.868    0.116       58.454    0.767       97.868    0.479      314.989    0.197     1777.188   36.416        8.030    2.060
 1999.125   2  1999      261.215    0.800      540.440    1.863       82.865    0.118       57.632    0.872       97.761    0.471      315.060    0.189     1775.479   35.546        7.860    1.980
 1999.208   3  1999      260.837    0.899      540.104    2.003       82.750    0.166       56.721    0.957       97.560    0.510      314.978    0.288     1770.229   38.526        7.510    2.000
 1999.292   4  1999      260.685    0.868      540.219    1.851       82.690    0.160       55.877    0.886       97.478    0.504      315.091    0.308     1772.929   35.063        7.370    1.800
 1999.375   5  1999      260.365    0.793      540.177    1.743       82.532    0.147       55.053    0.701       97.322    0.504      315.092    0.329     1770.998   29.972        7.340    1.440
 1999.458   6  1999      260.124    0.730      540.270    1.743       82.443    0.112       54.367    0.583       97.164    0.507      315.086    0.295     1769.943   25.597        7.450    1.220
 1999.542   7  1999      259.875    0.618      540.491    1.714       82.345    0.061       53.223    0.242       97.005    0.485      315.052    0.227     1765.694   21.639        7.540    1.150
 1999.625   8  1999      259.821    0.557      540.842    1.620       82.344    0.052       52.218    0.160       96.933    0.468      315.111    0.177     1765.828   19.716        7.460    1.060
 1999.708   9  1999      259.691    0.666      540.954    1.768       82.285    0.079       51.614    0.193       96.703    0.502      315.248    0.270     1771.310   22.819        7.830    1.200
 1999.792  10  1999      259.785    0.805      541.400    1.962       82.298    0.080       50.872    0.206       96.759    0.578      315.380    0.298     1774.185   25.916        7.630    1.430
 1999.875  11  1999      259.859    0.847      541.710    1.948       82.296    0.069       50.125    0.241       96.770    0.556      315.552    0.299     1774.527   28.483        7.680    1.530
 1999.958  12  1999      259.872    0.903      542.072    1.937       82.335    0.066       49.532    0.411       96.794    0.552      315.637    0.274     1774.740   32.457        7.780    1.860
 2000.042   1  2000      259.857    0.857      542.347    1.812       82.323    0.070       48.893    0.589       96.742    0.485      315.780    0.231     1776.184   33.852        7.820    1.910
 2000.125   2  2000      259.685    0.859      542.320    1.766       82.289    0.099       48.185    0.705       96.656    0.449      315.840    0.248     1773.723   34.822        7.590    1.860
 2000.208   3  2000      259.580    0.905      542.431    1.808       82.352    0.115       47.641    0.713       96.602    0.460      315.947    0.328     1774.979   34.697        7.490    1.790
 2000.292   4  2000      259.400    0.973      542.498    1.909       82.272    0.123       47.024    0.786       96.533    0.509      315.944    0.386     1776.698   36.351        7.710    1.870
 2000.375   5  2000      259.253    0.965      542.529    1.940       82.218    0.149       46.303    0.588       96.475    0.582      315.990    0.438     1773.118   31.130        7.340    1.370
 2000.458   6  2000      259.032    1.062      542.663    2.124       82.108    0.170       45.580    0.470       96.364    0.644      316.016    0.510     1769.913   27.319        7.440    1.100
 2000.542   7  2000      258.909    0.946      542.897    2.035       82.047    0.192       44.669    0.181       96.266    0.645      316.148    0.469     1766.164   19.952        7.310    0.860
 2000.625   8  2000      258.799    0.863      543.197    1.940       81.986    0.145       43.986    0.170       96.166    0.621      316.203    0.374     1769.637   20.895        7.680    1.100
 2000.708   9  2000      258.748    0.895      543.378    1.931       81.976    0.159       43.315    0.208       96.066    0.630      316.300    0.376     1772.652   23.702        7.670    1.220
 2000.792  10  2000      258.803    0.949      543.791    1.943       81.955    0.147       42.436    0.237       96.019    0.664      316.480    0.337     1774.862   25.872        7.640    1.440
 2000.875  11  2000      258.852    0.928      543.891    1.969       81.985    0.140       41.999    0.218       96.110    0.627      316.664    0.349     1774.529   31.184        7.400    1.640
 2000.958  12  2000      258.814    0.935      544.034    1.912       81.968    0.172       41.526    0.324       96.095    0.609      316.780    0.350     1775.263   32.645        7.340    1.670
 2001.042   1  2001      258.673    0.966      544.046    1.917       81.964    0.178       40.906    0.494       96.036    0.574      316.860    0.379     1772.502   34.606        7.200    1.740
 2001.125   2  2001      258.469    0.964      544.002    1.869       81.866    0.210       40.361    0.608       95.935    0.515      316.892    0.382     1774.481   35.360        7.270    1.800
 2001.208   3  2001      258.179    0.955      543.784    1.820       81.764    0.218       39.767    0.614       95.795    0.493      316.871    0.434     1771.812   34.878        7.010    1.720
 2001.292   4  2001      257.825    0.992      543.528    1.896       81.635    0.202       39.290    0.622       95.663    0.557      316.741    0.492     1774.519   32.965        7.030    1.610
 2001.375   5  2001      257.504    0.977      543.385    1.900       81.612    0.166       38.688    0.519       95.498    0.588      316.725    0.543     1773.241   29.271        7.110    1.260
 2001.458   6  2001      257.435    0.812      543.670    1.702       81.598    0.114       38.026    0.400       95.515    0.561      316.808    0.425     1772.821   24.009        7.030    1.100
 2001.542   7  2001      257.327    0.649      543.819    1.530       81.512    0.079       37.378    0.219       95.423    0.514      316.892    0.350     1771.872   18.824        7.180    1.090
 2001.625   8  2001      257.080    0.591      543.805    1.502       81.387    0.051       36.672    0.168       95.266    0.513      316.817    0.284     1770.913   17.099        7.250    0.970
 2001.708   9  2001      256.921    0.657      543.896    1.522       81.375    0.068       36.208    0.247       95.137    0.515      316.922    0.304     1776.049   20.067        7.650    1.260
 2001.792  10  2001      257.034    0.738      544.198    1.617       81.372    0.054       35.654    0.228       95.132    0.516      317.113    0.339     1774.851   26.696        7.590    1.390
 2001.875  11  2001      256.920    0.838      544.321    1.587       81.378    0.068       35.065    0.190       95.138    0.558      317.218    0.323     1773.426   27.156        7.140    1.340
 2001.958  12  2001      256.865    0.901      544.492    1.644       81.350    0.076       34.585    0.242       95.116    0.607      317.328    0.302     1776.028   31.689        7.340    1.630
 2002.042   1  2002      256.769    0.817      544.614    1.505       81.334    0.096       34.084    0.420       95.069    0.509      317.432    0.253     1773.806   35.224        7.350    1.760
 2002.125   2  2002      256.553    0.804      544.482    1.465       81.274    0.106       33.595    0.459       94.967    0.460      317.474    0.289     1771.249   35.592        7.110    1.710
 2002.208   3  2002      256.354    0.811      544.426    1.478       81.177    0.104       33.154    0.539       94.871    0.440      317.472    0.336     1774.208   36.889        7.190    1.740
 2002.292   4  2002      256.036    0.878      544.197    1.565       81.018    0.126       32.671    0.540       94.742    0.490      317.435    0.427     1771.207   35.356        7.030    1.640
 2002.375   5  2002      255.663    0.867      543.953    1.608       80.889    0.133       32.182    0.416       94.563    0.530      317.377    0.499     1771.187   31.551        7.090    1.330
 2002.458   6  2002      255.456    0.797      543.917    1.535       80.765    0.073       31.683    0.316       94.495    0.572      317.362    0.488     1768.821   25.653        7.080    1.060
 2002.542   7  2002      255.268    0.668      543.976    1.375       80.734    0.068       31.105    0.171       94.389    0.511      317.411    0.405     1765.892   21.343        7.040    1.010
 2002.625   8  2002      255.064    0.628      544.073    1.327       80.499    0.131       30.444    0.151       94.207    0.541      317.507    0.356     1767.736   19.160        7.160    1.020
 2002.708   9  2002      254.930    0.653      544.116    1.363       80.462    0.143       30.066    0.164       94.109    0.552      317.573    0.353     1773.146   23.745        7.450    1.270
 2002.792  10  2002      254.879    0.762      544.306    1.474       80.430    0.111       29.602    0.179       94.074    0.567      317.695    0.376     1775.762   27.126        7.490    1.540
 2002.875  11  2002      254.894    0.840      544.507    1.557       80.434    0.097       29.195    0.184       94.161    0.625      317.788    0.361     1777.499   31.585        7.350    1.670
 2002.958  12  2002      254.720    0.952      544.394    1.620       80.397    0.143       28.813    0.267       94.123    0.660      317.805    0.417     1776.166   34.521        7.260    1.780
 2003.042   1  2003      254.577    0.893      544.458    1.547       80.340    0.147       28.485    0.339       94.120    0.531      317.904    0.381     1775.071   33.494        7.150    1.780
 2003.125   2  2003      254.211    1.003      544.115    1.715       80.219    0.169       28.095    0.450       93.946    0.557      317.830    0.489     1772.342   38.323        7.210    1.950
 2003.208   3  2003      254.181    0.896      544.293    1.488       80.198    0.142       27.596    0.469       93.964    0.515      318.060    0.459     1774.281   35.119        7.060    1.750
 2003.292   4  2003      253.987    0.972      544.199    1.579       80.090    0.143       27.178    0.481       93.852    0.584      318.116    0.542     1777.252   35.481        7.220    1.630
 2003.375   5  2003      253.756    0.928      544.094    1.534       79.941    0.176       26.878    0.408       93.726    0.624      318.099    0.581     1775.819   32.710        7.060    1.410
 2003.458   6  2003      253.416    0.886      543.838    1.538       79.842    0.146       26.575    0.258       93.568    0.649      318.068    0.606     1774.813   29.008        7.140    1.170
 2003.542   7  2003      253.399    0.679      544.042    1.301       79.873    0.065       26.035    0.179       93.535    0.595      318.194    0.473     1774.308   25.278        7.310    1.150
 2003.625   8  2003      253.293    0.486      544.065    1.099       79.880    0.044       25.464    0.110       93.425    0.532      318.246    0.325     1772.724   22.411        7.250    1.070
 2003.708   9  2003      253.196    0.516      544.172    1.154       79.857    0.037       25.097    0.125       93.301    0.525      318.354    0.322     1776.641   25.266        7.390    1.230
 2003.792  10  2003      253.188    0.586      544.332    1.189       79.846    0.035       24.738    0.115       93.321    0.596      318.479    0.313     1779.770   28.645        7.470    1.410
 2003.875  11  2003      253.158    0.651      544.394    1.225       79.716    0.053       24.316    0.155       93.322    0.603      318.598    0.296     1780.055   32.321        7.430    1.600
 2003.958  12  2003      253.269    0.741      544.643    1.291       79.584    0.076       23.981    0.217       93.436    0.592      318.842    0.312     1782.283   36.707        7.400    1.790
 2004.042   1  2004      252.937    0.796      544.634    1.168       79.579    0.112       23.641    0.263       93.265    0.578      318.904    0.304     1776.484   36.662        7.010    1.860
 2004.125   2  2004      252.792    0.762      544.427    1.260       79.582    0.159       23.339    0.349       93.236    0.511      318.895    0.359     1777.231   39.436        7.040    1.930
 2004.208   3  2004      252.555    0.743      544.288    1.217       79.398    0.075       22.928    0.368       93.127    0.482      318.954    0.386     1777.050   37.873        7.070    1.800
 2004.292   4  2004      252.182    0.779      543.961    1.270       79.199    0.041       22.641    0.403       92.999    0.504      318.898    0.410     1776.297   36.438        7.230    1.520
 2004.375   5  2004      251.927    0.794      543.774    1.269       79.062    0.050       22.281    0.384       92.906    0.551      318.849    0.454     1775.398   34.445        7.120    1.390
 2004.458   6  2004      251.618    0.753      543.557    1.183       78.960    0.050       21.920    0.251       92.763    0.558      318.851    0.455     1770.854   26.608        7.110    1.060
 2004.542   7  2004      251.330    0.625      543.312    1.053       78.898    0.060       21.613    0.155       92.620    0.541      318.811    0.389     1769.049   21.809        7.300    0.990
 2004.625   8  2004      251.262    0.514      543.579    0.797       78.847    0.075       21.166    0.114       92.577    0.468      318.964    0.251     1770.741   21.442        7.190    1.280
 2004.708   9  2004      251.040    0.548      543.401    0.835       78.797    0.050       20.871    0.112       92.370    0.457      318.940    0.225     1775.027   24.498        7.070    1.250
 2004.792  10  2004      251.001    0.639      543.505    0.945       78.808    0.070       20.579    0.123       92.338    0.457      319.076    0.270     1775.958   26.968        7.230    1.500
 2004.875  11  2004      251.028    0.683      543.681    1.026       78.819    0.059       20.266    0.130       92.362    0.438      319.269    0.282     1775.394   28.404        7.150    1.600
 2004.958  12  2004      250.958    0.790      543.692    1.179       78.754    0.104       20.036    0.164       92.356    0.461      319.332    0.309     1775.449   34.629        7.200    1.800
 2005.042   1  2005      250.920    0.764      543.715    1.127       78.734    0.117       19.777    0.218       92.371    0.377      319.448    0.290     1776.512   35.020        7.180    1.820
 2005.125   2  2005      250.546    0.892      543.403    1.343       78.611    0.171       19.522    0.268       92.211    0.406      319.360    0.411     1772.241   38.725        7.060    1.870
 2005.208   3  2005      250.443    0.864      543.487    1.245       78.596    0.138       19.219    0.275       92.229    0.344      319.453    0.434     1772.466   35.357        6.840    1.700
 2005.292   4  2005      250.035    0.845      543.280    1.334       78.555    0.191       18.937    0.292       92.185    0.429      319.481    0.510     1772.325   34.960        6.720    1.550
 2005.375   5  2005      249.745    0.902      543.086    1.432       78.559    0.183       18.716    0.253       91.974    0.564      319.467    0.588     1771.889   32.339        6.940    1.260
 2005.458   6  2005      249.566    0.731      543.078    1.205       78.490    0.172       18.350    0.209       91.885    0.438      319.659    0.495     1769.834   26.790        6.820    1.000
 2005.542   7  2005      249.231    0.639      542.791    1.103       78.448    0.193       18.076    0.109       91.802    0.525      319.655    0.499     1769.810   23.561        7.170    1.010
 2005.625   8  2005      248.997    0.465      542.737    0.920       78.393    0.121       17.764    0.101       91.700    0.491      319.732    0.419     1772.253   23.414        7.310    1.140
 2005.708   9  2005      248.906    0.458      542.813    0.896       78.249    0.052       17.479    0.105       91.616    0.464      319.811    0.353     1777.228   26.690        7.520    1.350
 2005.792  10  2005      248.847    0.491      542.839    0.908       78.244    0.054       17.201    0.105       91.582    0.471      319.934    0.309     1778.147   28.094        7.440    1.480
 2005.875  11  2005      248.862    0.538      542.954    0.958       78.197    0.056       16.928    0.122       91.579    0.458      320.067    0.282     1778.010   30.121        7.330    1.590
 2005.958  12  2005      248.818    0.633      542.980    1.097       78.141    0.103       16.705    0.190       91.537    0.481      320.126    0.289     1780.282   35.967        7.550    1.840
 2006.042   1  2006      248.625    0.602      542.878    1.066       78.097    0.121       16.480    0.219       91.457    0.396      320.220    0.279     1780.445   36.063        7.310    1.890
 2006.125   2  2006      248.439    0.606      542.777    1.037       78.107    0.089       16.241    0.236       91.391    0.320      320.332    0.280     1780.328   35.497        7.170    1.820
 2006.208   3  2006      247.897    0.681      542.356    1.014       78.036    0.076       16.009    0.252       91.234    0.348      320.267    0.344     1772.803   37.514        6.730    1.740
 2006.292   4  2006      247.592    0.699      542.019    1.010       77.949    0.066       15.851    0.284       91.131    0.398      320.220    0.376     1772.047   36.402        6.820    1.660
 2006.375   5  2006      247.423    0.597      541.901    0.862       77.961    0.064       15.662    0.264       91.099    0.398      320.339    0.342     1773.774   32.035        6.780    1.440
 2006.458   6  2006      247.031    0.573      541.525    0.774       77.832    0.075       15.399    0.199       90.911    0.447      320.271    0.354     1770.999   28.219        6.800    1.140
 2006.542   7  2006      246.832    0.543      541.300    0.710       77.852    0.102       15.077    0.090       90.735    0.435      320.364    0.373     1768.909   23.093        6.950    1.080
 2006.625   8  2006      246.513    0.505      540.973    0.645       77.533    0.109       14.806    0.096       90.469    0.384      320.316    0.343     1769.934   22.241        7.200    1.130
 2006.708   9  2006      246.435    0.508      540.935    0.615       77.552    0.070       14.560    0.122       90.374    0.368      320.404    0.287     1774.020   24.597        7.330    1.280
 2006.792  10  2006      246.421    0.645      540.959    0.783       77.548    0.049       14.371    0.119       90.332    0.410      320.492    0.310     1775.411   25.895        7.470    1.510
 2006.875  11  2006      246.426    0.640      540.908    0.837       77.566    0.041       14.147    0.082       90.347    0.469      320.596    0.324     1776.999   31.046        7.270    1.560
 2006.958  12  2006      246.432    0.700      540.932    0.922       77.546    0.044       13.995    0.096       90.343    0.433      320.762    0.329     1778.623   34.667        7.490    1.870
 2007.042   1  2007      246.246    0.701      540.728    0.979       77.506    0.057       13.740    0.149       90.189    0.380      320.863    0.410     1774.415   37.805        7.270    1.900
 2007.125   2  2007      246.219    0.608      540.716    0.842       77.498    0.073       13.549    0.199       90.185    0.294      321.005    0.333     1778.396   35.442        7.360    1.750
 2007.208   3  2007      245.972    0.683      540.433    0.942       77.388    0.070       13.416    0.213       90.061    0.325      320.992    0.396     1779.458   36.436        7.360    1.740
 2007.292   4  2007      245.711    0.750      540.128    1.020       77.199    0.063       13.240    0.233       89.957    0.370      321.031    0.525     1777.670   36.667        7.090    1.620
 2007.375   5  2007      245.516    0.773      539.836    0.954       77.097    0.067       13.052    0.212       89.916    0.431      321.059    0.557     1779.740   33.668        7.240    1.460
 2007.458   6  2007      245.275    0.785      539.225    0.966       76.944    0.086       12.825    0.151       89.695    0.478      320.964    0.539     1778.049   28.361        7.350    1.180
 2007.542   7  2007      245.111    0.692      539.117    0.813       76.847    0.139       12.586    0.096       89.607    0.458      320.961    0.441     1775.852   23.777        7.380    1.030
 2007.625   8  2007      244.865    0.552      539.018    0.739       76.839    0.124       12.352    0.068       89.584    0.441      321.036    0.386     1777.717   22.968        7.420    1.000
 2007.708   9  2007      244.720    0.564      538.879    0.758       76.776    0.131       12.131    0.071       89.383    0.419      321.204    0.393     1785.277   25.918        7.560    1.190
